"","Date","Species","notes","Site","Total_time","nFurSeals"
"902","1/15/2009","WSFS","hauled out on beach by control colonies ","PAUL","04:00:00",NA
"903","1/17/2009","WSFS","FS all males, 2 ws were yearling","HALF","03:15:00",NA
"904","1/17/2009","FS","2 males snoozing near neptunes window","WHAL","04:00:00",2
"905","1/18/2009","","","GEOR","02:45:00",NA
"906","1/18/2009","","","CUVE","00:30:00",NA
"907","1/18/2009","","","PETE","01:45:00",NA
"908","1/19/2009","CSLS","","PCHA","01:00:00",NA
"909","1/20/2009","FS","~12 large male fur seals observed on both landing beach options","BELS","01:00:00",12
"910","1/20/2009","","","NEKO","02:20:00",NA
"911","1/21/2009","FSWS","Fur seals on beach.  Numerous (20+) WS on floes near landing. ","HERO","02:20:00",NA
"912","1/21/2009","FSWS","Fur seals beginning to arrive in numbers...probably 20 along the beach at west end of island.","PAUL","02:15:00",20
"913","1/23/2009","","none seen","SPIG","02:45:00",0
"914","1/23/2009","FS","fur seals on beach","SELV","00:30:00",NA
"915","1/23/2009","WS","","NEKO","02:00:00",NA
"916","1/24/2009","","None seen. ","DETA","02:30:00",0
"917","1/25/2009","ESWS","2 ES in crevice together","PLEN","03:00:00",NA
"918","1/25/2009","WSLS","","JOUG","02:55:00",NA
"919","1/25/2009","WSFS","","DAMO","02:10:00",NA
"920","1/25/2009","ESFS","4 on south beach + 1 weaner.  Didn't go to wallow.  Masturbating Furries.","AITC","05:00:00",NA
"921","1/26/2009","FSWS","Fur seals and WS on the narrow neck of the island. ","HYDR","01:45:00",NA
"922","1/26/2009","FSWS","lots of furries on the beach, 2 weddells hauled out","MIKK","02:45:00",NA
"923","1/26/2009","FSCSLS","A lot of leopard seals everywhere.  1 crabeater & dozens of furries in area.","LIND","02:00:00",NA
"924","1/27/2009","WS","Weddell seal seen by Explorer staff","DAMO","02:45:00",NA
"925","1/27/2009","","","DOBE","00:15:00",NA
"926","1/27/2009","","none observed","NEKO","01:45:00",0
"927","1/28/2009","","","PETE","04:00:00",NA
"928","1/28/2009","LS","4 on ice on north side.","PCHA","03:00:00",NA
"929","1/29/2009","WS","Chief mate Ben saw a Weddell","ALMI","01:30:00",NA
"930","1/29/2009","LS","Leopard seal seen by chief mate Ben.","BRYS","01:00:00",NA
"931","1/31/2009","FS","","BELS","01:00:00",NA
"932","01-Feb-09","WS","#WS = 21 LS patrolling off shore.","BROW","01:00:00",NA
"933","01-Feb-09","","","JONA","00:45:00",NA
"934","01-Feb-09","","","DEVI","01:30:00",NA
"935","01-Feb-09","FS","2-3 dozen FS on the beaches and rocks.","TETR","01:00:00",30
"936","01-Feb-09","FS","Approx. 12-15 FS on the beach.","SKOT","00:45:00",13
"937","02-Feb-09","","","DANC","02:00:00",NA
"938","02-Feb-09","","","BENE","01:00:00",NA
"939","03-Feb-09","","","ANDR","02:00:00",NA
"940","05-Feb-09","","","FISH","03:15:00",NA
"941","06-Feb-09","","","JOUG","02:30:00",NA
"942","06-Feb-09","FSWS","~ 2-3 dozen fur seals on the beach#WS=2","USEF","02:00:00",30
"943","12-Feb-09","FS","many fur seals","ORNE","01:30:00",NA
"944","12-Feb-09","FSES","one elephant seals and many feathered fur seals","GEOR","02:14:00",NA
"945","12-Feb-09","","","RONE","00:50:00",NA
"946","12-Feb-09","","","DANC","01:45:00",NA
"947","2/13/2009","","Fur seals, Wedell seals, Leopard seals in the area but not at the landing site","DETA","01:30:00",NA
"948","2/14/2009","","","MOOT","00:25:00",NA
"949","2/14/2009","","","GLAN","00:40:00",NA
"950","2/14/2009","","","LOUB","00:50:00",NA
"951","2/15/2009","","","DAMO","02:04:00",NA
"952","2/15/2009","","","NEKO","01:28:00",NA
"953","2/15/2009","","","DOBE","00:20:00",NA
"954","2/16/2009","FSES","Many fur seals, difficult to cross beach","ENTR","01:00:00",NA
"955","2/16/2009","FS","","WHAL","",NA
"956","2/16/2009","LSFS","","VAPO","",NA
"957","2/17/2009","FSWSLS","about 50 fur seals on beach","BROW","04:00:00",50
"958","11/17/2008","","","NEKO","",NA
"959","11/17/2008","","","ALMI","",NA
"960","11/18/2008","","","PETE","",NA
"961","07-Nov-09","WSLS","","YANK","04:00:00",NA
"962","09-Nov-09","","","BAIL","04:00:00",NA
"963","10-Nov-09","WSLS","","ORNE","03:30:00",NA
"964","11-Nov-09","LS","","PCHA","02:30:00",NA
"965","11-Nov-09","","","PETE","03:30:00",NA
"966","12-Nov-09","","","ALMI","01:00:00",NA
"967","11/13/2009","LSCS","","DAMO","03:00:00",NA
"968","11/14/2009","WSLS","","JOUG","03:00:00",NA
"969","11/19/2009","","","BAIL","04:15:00",NA
"970","11/20/2009","CS","","DAMO","02:20:00",NA
"971","11/21/2009","","","PCHA","02:30:00",NA
"972","11/22/2009","LS","","PLEN","02:55:00",NA
"973","11/22/2009","","","JOUG","02:00:00",NA
"974","11/22/2009","WS","","NEKO","02:00:00",NA
"975","11/23/2009","","","BROW","",NA
"976","10-Dec-09","LSES","Only 4 elephant seals at wallow...still much snow on the beach","AITC","04:00:00",NA
"977","10-Dec-09","WS","","BAIL","02:50:00",NA
"978","11-Dec-09","LSWS","","BROW","04:00:00",NA
"979","11-Dec-09","WSCS","Extremely large WS on ice near shore","MADI","03:00:00",NA
"980","12-Dec-09","","","WHAL","00:30:00",NA
"981","12/13/2009","WS","","NEKO","03:40:00",NA
"982","12/13/2009","WSLS","Leopard seal patrolling off beach.  WS hauled out on shore.","DANC","03:30:00",NA
"983","12/14/2009","","","PCHA","02:00:00",NA
"984","12/14/2009","ESWS","1 ES and 1 WS hauled out on the beach.","PETE","04:20:00",NA
"985","12/15/2009","","","JOUG","01:30:00",NA
"986","12/15/2009","","","DOBE","00:10:00",NA
"987","12/21/2009","","","PEPO","03:40:00",NA
"988","12/22/2009","WS","","PAUL","04:30:00",NA
"989","12/23/2009","","","CUVE","03:30:00",NA
"990","12/23/2009","","","ALMI","00:23:00",NA
"991","12/24/2009","WS","9 WS hauled out near the hut landing.","DETA","01:00:00",NA
"992","12/24/2009","","","ANDR","02:00:00",NA
"993","12/24/2009","","","ANDI","00:30:00",NA
"994","12/25/2009","","","MOOT","00:20:00",NA
"995","12/25/2009","WS","1 WS on island 9.","YALO","02:35:00",NA
"996","12/26/2009","","","JOUG","01:20:00",NA
"997","12/26/2009","ESWS","1 mid-sized E seal on the back side of SPIG en route to SELV","SPIG","02:05:00",NA
"998","12/26/2009","","","SELV","00:30:00",NA
"999","12/31/2009","ES","1 juvenile (really small) ","BAIL","05:15:00",NA
"1000","02-Jan-10","","","DEVI","02:00:00",NA
"1001","03-Jan-10","","No seals","NEKO","03:00:00",0
"1002","05-Jan-10","","","PETE","02:30:00",NA
"1003","05-Jan-10","","","JOUG","",NA
"1004","06-Jan-10","","","BRYS","",NA
"1005","06-Jan-10","","","BRYE","",NA
"1006","06-Jan-10","","","ALMI","",NA
"1007","12-Jan-10","","","WHAL","03:30:00",NA
"1008","1/13/2010","","","RONE","01:10:00",NA
"1009","1/13/2010","ES","","ORNE","01:00:00",NA
"1010","1/14/2010","","","ALMI","",NA
"1011","1/15/2010","","","NEKO","02:00:00",NA
"1012","1/15/2010","","","DAMO","02:30:00",NA
"1013","1/15/2010","","","DOBE","00:30:00",NA
"1014","1/17/2010","","","PLEN","02:30:00",NA
"1015","1/22/2010","ES","","AITC","03:25:00",NA
"1016","1/23/2010","","","DEVI","04:00:00",NA
"1017","1/24/2010","FSWS","","PAUL","03:00:00",NA
"1018","1/24/2010","","","BROW","04:00:00",NA
"1019","1/26/2010","FS","4 sub-adult male fur seals","ORNE","01:30:00",4
"1020","1/27/2010","CS","","PYPT","02:30:00",NA
"1021","1/28/2010","ES","","PETE","03:00:00",NA
"1022","03-Feb-10","FSLS","Mostly subadult male fur seals but at least one female.","WILD","00:30:00",NA
"1023","03-Feb-10","FS","","BELS","00:30:00",NA
"1024","03-Feb-10","","","PAUL","",NA
"1025","05-Feb-10","","","CUVE","05:30:00",NA
"1026","05-Feb-10","","Leopard and crabeater seals seen during zodiac tour around harbor.","ALMI","",NA
"1027","06-Feb-10","","","JOUG","02:30:00",NA
"1028","06-Feb-10","LSWS","Leopard seal on ice in bay on far side.","PCHA","03:00:00",NA
"1029","07-Feb-10","FSWSCS","Dead YOY Weddell Seal on the beach.  Very fresh.  Crabeater seals not on land but >60 on ice seen on zodiac cruises. ","BONG","-8:00:00",NA
"1030","08-Feb-10","FS","","USEF","03:00:00",NA
"1031","2/14/2010","FSWS","At least 4 Fur Seals and 5 Weddell Seals seen on shore.","RRRI","03:45:00",4
"1032","2/15/2010","FSCS","6+ Fur Seals on shore; One dead weddell seal on shore; 3 crabeater seals on nearby iceberg?","BONG","03:15:00",6
"1033","2/16/2010","FS","","DAMO","03:45:00",NA
"1034","2/16/2010","","","CUVE","00:15:00",NA
"1035","2/16/2010","","","RONE","01:45:00",NA
"1036","2/17/2010","","","WHAL","01:00:00",NA
"1037","2/18/2010","FSES","Lots of fur seals on the beaches.  Not many elephant seals. (ES mostly in one group.)","BRIT","00:30:00",NA
"1038","2/18/2010","","","WILD","",NA
"1039","2/19/2010","FSWSCSLSES","Lots of fur seals.  #ES = 1, #WS>10, #LS ~ 10, #CS =1","SPIN","",NA
"1040","11/21/2010","LS","","DEVI","03:00:00",NA
"1041","11/22/2010","CSWS","","VIEW","03:00:00",NA
"1042","11/23/2010","","","BROW","01:55:00",NA
"1043","11/24/2010","","","HUNT","00:30:00",NA
"1044","11/24/2010","WS","","USEF","02:45:00",NA
"1045","11/25/2010","WS","","JOUG","01:30:00",NA
"1046","11/25/2010","WS","","DAMO","01:45:00",NA
"1047","11/26/2010","CS","","PCHA","02:00:00",NA
"1048","11/26/2010","","","PLEN","00:50:00",NA
"1049","01-Dec-10","ESLS","~ 3 ELEPHANT SEALS ON BEACH.  Leopard Seal seen in water nearby by other zodiacs.","ENTR","01:00:00",NA
"1050","02-Dec-10","","","CUVE","02:45:00",NA
"1051","02-Dec-10","CS","","NEKO","01:30:00",NA
"1052","03-Dec-10","WS","At least 5 weddell seals observed.","EXTE","02:00:00",NA
"1053","04-Dec-10","","","PCHA","03:30:00",NA
"1054","05-Dec-10","WS","","JOUG","01:45:00",NA
"1055","05-Dec-10","WSCS","Crabeater seal on ice nearby, weddell on land (on snow)","DOBE","00:35:00",NA
"1056","05-Dec-10","","Seal on shore was either crabeater or Weddell but didn't have a chance to observe.","PETE","02:45:00",NA
"1057","11-Dec-10","","","BAIL","04:00:00",NA
"1058","11-Dec-10","","","WHAL","01:30:00",NA
"1059","12/13/2010","WS","2 WS on Snow on land.","NEKO","02:50:00",NA
"1060","12/14/2010","ES","one elephant seal","PLEN","02:30:00",NA
"1061","12/14/2010","","","DOBE","00:30:00",NA
"1062","12/14/2010","","","GLAN","00:20:00",NA
"1063","12/14/2010","","","LOUB","00:40:00",NA
"1064","12/14/2010","","","HUMP","00:15:00",NA
"1065","12/15/2010","","","GEOR","02:50:00",NA
"1066","12/15/2010","","","CUVE","00:30:00",NA
"1067","12/15/2010","","","BRYE","01:10:00",NA
"1068","12/15/2010","","","BRYS","00:45:00",NA
"1069","12/16/2010","","None observed","DAMO","02:30:00",0
"1070","12/16/2010","WSCS","Weddell and Crabeater Seal reported from Zodiac Cruises","SPIG","02:00:00",NA
"1071","12/15/2010","","","ALMI","00:30:00",NA
"1072","12/21/2010","","","AITC","03:30:00",NA
"1073","12/21/2010","WS","2 weddel seals","HALF","03:00:00",NA
"1074","12/22/2010","WS","1 weddell seal","BROW","03:00:00",NA
"1075","12/24/2010","","","ENTR","05:30:00",NA
"1076","12/25/2010","","","PCHA","04:00:00",NA
"1077","12/26/2010","","","JOUG","02:00:00",NA
"1078","12/27/2010","","","ORNE","01:37:00",NA
"1079","12/23/2010","WS","","PAUL","05:00:00",NA
"1080","12/23/2010","CSWS","","TAYH","03:43:00",NA
"1081","12/31/2010","","","BELS","01:15:00",NA
"1082","12/31/2010","ESFSWS","","BRIT","02:40:00",NA
"1083","02-Jan-11","","No seals","MOOT","00:30:00",0
"1084","02-Jan-11","WS","2 Weddell Seals near landing","PETE","03:00:00",NA
"1085","03-Jan-11","","No seals observed","BONG","01:50:00",0
"1086","03-Jan-11","","No seals oberved","LAIN","00:30:00",0
"1087","1/31/2010","LSFS","One LS observed on rock stack at WILD. A few FS as well","WILD","",3
"1088","04-Jan-11","","No Seals observed","FISH","02:30:00",0
"1089","05-Jan-11","","No seals observed","JOUG","03:20:00",0
"1090","05-Jan-11","","No seals observed.","NEKO","02:21:00",0
"1091","01-Jan-11","","None Observed","WHAL","",0
"1092","10-Jan-11","ES","ES wallows","HANN","02:15:00",NA
"1093","12-Jan-11","ESWS","","NEKO","01:00:00",NA
"1094","12-Jan-11","","None seen.","PCHA","01:30:00",0
"1095","1/14/2011","WS","","DETA","01:00:00",NA
"1096","1/13/2011","","","BONG","01:45:00",NA
"1097","1/15/2011","LS","Leopard seals off shore. ","JOUG","01:30:00",NA
"1098","1/15/2011","","No seals observed.","RONE","01:10:00",0
"1099","1/15/2011","","NO whales observed. ","CUVE","00:40:00",0
"1100","1/20/2011","ESFS","1 FS, many ES at seal wallow","AITC","03:00:00",1
"1101","1/21/2011","","","BROW","03:45:00",NA
"1102","1/21/2011","","","DEVI","02:00:00",NA
"1103","1/22/2011","FS","6 FS","ENTR","02:30:00",6
"1104","1/23/2011","","","PCHA","03:15:00",NA
"1105","1/23/2011","","","PETE","02:20:00",NA
"1106","1/24/2011","","","DETA","02:00:00",NA
"1107","1/25/2011","","","DAMO","02:30:00",NA
"1108","1/25/2011","","","DANC","03:00:00",NA
"1109","1/30/2011","ESWSCSLSFS","#ES = 71, #WS = 3, #CS = 1, #LS = 1, #FS = 2 ","HANN","04:00:00",2
"1110","1/31/2011","FSLS","#FS = 6, #LS = 1","BROW","04:00:00",6
"1111","01-Feb-11","","","CUVE","02:00:00",NA
"1112","01-Feb-11","","","ALMI","01:00:00",NA
"1113","02-Feb-11","FS","#FS = 6 (subadults)","PCHA","03:00:00",6
"1114","02-Feb-11","","","PLEN","05:00:00",NA
"1115","03-Feb-11","","","DETA","02:00:00",NA
"1116","04-Feb-11","","","JOUG","03:30:00",NA
"1117","09-Feb-11","FSES","#FS = 25+, #ES = 1","BAIL","04:00:00",25
"1118","10-Feb-11","","","DOBE","00:15:00",NA
"1119","10-Feb-11","","","DAMO","02:15:00",NA
"1120","2/13/2011","","","SPIP","00:30:00",NA
"1121","2/13/2011","","","CUVE","02:00:00",NA
"1122","2/14/2011","","","PCHA","03:15:00",NA
"1123","2/19/2011","FS","Many FS on the beach","HALF","03:15:00",NA
"1124","2/20/2011","","","NEKO","04:00:00",NA
"1125","2/20/2011","","","CUVE","03:30:00",NA
"1126","2/22/2011","FS","","BOUD","",NA
"1127","06-Dec-12","","","PENG","",NA
"1128","06-Dec-12","","","TURR","",NA
"1129","07-Dec-12","","","CECI","",NA
"1130","07-Dec-12","","","DEEI","",NA
"1131","08-Dec-12","","","MIER","",NA
"1132","08-Dec-12","","","HURW","",NA
"1133","08-Dec-12","","","PRES","",NA
"1134","10-Dec-12","","","ALCO","",NA
"1135","10-Dec-12","","","CHPT","",NA
"1136","10-Dec-12","","","STER","",NA
"1137","10-Dec-12","","","MIDA","",NA
"1138","10-Dec-12","","","PING","",NA
"1139","11-Dec-12","","","DELA","",NA
"1140","12-Dec-12","","","GAST","",NA
"1141","12-Dec-12","","","JACP","",NA
"1142","12/13/2010","","","KETL","",NA
"1143","12/13/2010","","","DUPT","",NA
"1144","12/13/2010","","","SANE","",NA
"1145","12/13/2010","","","LAUT","",NA
"1146","12/13/2010","","","ONEI","",NA
"1147","12/15/2010","","","BISC","",NA
"1148","12/16/2010","","","NOBL","",NA
"1149","12/16/2010","","","LAUR","",NA
"1150","12/16/2010","","","ASTU","",NA
"1151","12/26/2010","","","BROW","",NA
"1152","1/29/2011","","","HALF","",NA
"1153","1/30/2011","","","WHAL","",NA
"1154","1/30/2011","FS","#FS = 8","MIKK","",8
"1155","1/31/2011","","","JOUG","",NA
"1156","1/31/2011","","","PCHA","",NA
"1157","01-Feb-11","","","WATE","",NA
"1158","11-Nov-11","WS","1 WS","HALF","02:30:00",NA
"1159","12-Nov-11","","","ECKE","00:22:00",NA
"1160","12-Nov-11","","","MIKK","03:00:00",NA
"1161","11/14/2011","","","ORNE","01:00:00",NA
"1162","11/14/2011","","","GEOR","02:15:00",NA
"1163","11/15/2011","","","DUPT","00:30:00",NA
"1164","11/15/2011","LS","one leopard seal on the water at the landing beach, playing with a zodiac (it was a female). On our way back to the ship, we saw a female leopard seal with a pup on the ice.","WATE","02:30:00",NA
"1165","11/16/2011","LS","","JOUG","02:30:00",NA
"1166","11/16/2011","LS","Leopard seal on the water","DAMO","02:30:00",NA
"1167","11/17/2011","","There were no elephant seals","AITC","03:30:00",NA
"1168","02-Dec-11","","","HALF","02:30:00",NA
"1169","02-Dec-11","","","RENI","02:30:00",NA
"1170","02-Dec-11","","","RUGG","02:30:00",NA
"1171","03-Dec-11","","","CUVE","07:00:00",NA
"1172","04-Dec-11","","","ALMI","01:30:00",NA
"1173","03-Dec-11","","","DANC","03:30:00",NA
"1174","05-Dec-11","","","SPIG","02:30:00",NA
"1175","11-Dec-11","WS","1 weddell seal on shore, all the way up on the snow","DAMO","01:45:00",NA
"1176","11-Dec-11","","","BENE","01:50:00",NA
"1177","12-Dec-11","WS","4 weddell seals on the snow on the beach","NEKO","00:51:00",NA
"1178","12-Dec-11","WS","1 weddell on the beach","WATE","02:15:00",NA
"1179","12/13/2011","","","SPIG","02:35:00",NA
"1180","12/13/2011","","","GEOR","02:08:00",NA
"1181","12/21/2011","CSWSLS","","MELC","01:30:00",NA
"1182","12/21/2011","WS","","JOUG","01:40:00",NA
"1183","12/22/2011","","","BRYE","00:30:00",NA
"1184","12/22/2011","","","BRYS","01:00:00",NA
"1185","12/22/2011","","","DANC","01:45:00",NA
"1186","12/23/2011","","","CUVE","04:45:00",NA
"1187","12/24/2011","","","SELV","02:00:00",NA
"1188","12/25/2011","WS","","HALF","02:00:00",NA
"1189","10-Dec-12","","","HUMB","",NA
"1190","12/13/2011","","","COBA","",NA
"1191","12/13/2011","","","PALA","",NA
"1192","12/13/2011","","","LOBO","",NA
"1193","12/13/2011","","","SMAL","",NA
"1194","12/14/2011","","","RENI","",NA
"1195","12/14/2011","","","RUGG","",NA
"1196","12/14/2011","","","FORT","",NA
"1197","12/14/2011","","","SART","",NA
"1198","12/15/2011","ES","Dozens of ES lying on the beach.","PRES","",NA
"1199","12/15/2011","ES","Many ES on the beach, must be avoided during census.","HPSW","",NA
"1200","1/19/2012","WS","8 seals observed - 6 on fast ice in bay east of hut, 2 near landing.","HORI","01:00:00",NA
"1201","1/19/2012","WS","1 on ice just off suggested landing site.","LAGO","00:40:00",NA
"1202","1/21/2012","","","JOUG","02:00:00",NA
"1203","1/21/2012","CSLS","2 CS on ice, 2 LS in water","HIDD","01:00:00",NA
"1204","1/22/2012","LSWS","2 LS, 2 WS hauled out.","ALMI","01:35:00",NA
"1205","1/22/2012","WSLS","WS hauled out on snowy beach.  LS in water along shore.  2 Humpbacks near ship.","NEKO","01:30:00",NA
"1206","1/23/2012","","","DANC","02:30:00",NA
"1207","1/23/2012","FS","One FS on beach @ start.","CUVE","04:35:00",1
"1208","1/24/2012","FS","2 FS on beach across from WHAL.","WHAL","02:00:00",2
"1209","1/24/2012","ESWSFS","Seals on landing beaches; 20 ES on west-end beach by SOGP.","AITC","02:45:00",NA
"1210","1/30/2012","WSCS","By landing area, hauled out (note, different landing than our usual).  Crabeater seals seen in water by kayakers.","DAMO","03:00:00",NA
"1211","1/30/2012","WS","","DOBE","00:10:00",NA
"1212","1/31/2012","","None observed.","WATE","02:40:00",0
"1213","1/31/2012","","","MOLI","00:05:00",NA
"1214","1/31/2012","WS","Weddell seal observed in water from zodiac.  ","BENE","03:00:00",NA
"1215","01-Feb-12","WS","","BRYS","00:55:00",NA
"1216","01-Feb-12","LSWS","Leopard seal & Weddell seal hauled out around Bryde Island corner on way from BRYS.","BRYE","00:20:00",NA
"1217","01-Feb-12","CSWS","3 CS & 2 WS seen on ice during zodiac cruise.","ALMI","01:05:00",NA
"1218","01-Feb-12","WS","2 WS and 1 Minke observed by pax zodiac cruise.","NEKO","01:25:00",NA
"1219","03-Feb-12","FS","1 FS asleep on beach.","BAIL","01:25:00",1
"1220","03-Feb-12","FSES","1 FS far side. #102 ES (see excel data).","HANN","03:15:00",1
"1221","","","","BAIL","",NA
"1222","","","","VAPO","",NA
"1223","","","","MPTE","",NA
"1224","","","","MPTW","",NA
"1225","","","","SPNW","",NA
"1226","","","","SPBL","",NA
"1227","","","","ENTW","",NA
"1228","","","","ENTR","",NA
"1229","1/20/2012","","","PAUL","",NA
"1230","2/21/2012","","","PETE","",NA
"1231","03-Jan-13","","","HALF","02:15:00",NA
"1232","04-Jan-13","WS","#WS = 1","DANC","03:00:00",NA
"1233","05-Jan-13","","","GEOR","03:00:00",NA
"1234","05-Jan-13","","","CUVE","03:00:00",NA
"1235","05-Jan-13","","","JOUG","01:15:00",NA
"1236","06-Jan-13","","Nothing on land but 6-8 crabeater seals in the water.","DETA","02:00:00",0
"1237","07-Jan-13","ES","1 ES beyond ADPE HEIGHTS near ADPE colony C.","PETE","07:30:00",NA
"1238","07-Jan-13","","No seals on land but several LS in the water including a LS with a pup.","PCHA","02:30:00",0
"1239","08-Jan-13","","","WATE","03:00:00",NA
"1240","08-Jan-13","","LS and WS and CS were in the water.","ALMI","01:00:00",NA
"1241","10-Jan-13","WS","#WS = 1","BROW","02:00:00",NA
"1242","10-Jan-13","","","HOPE","02:00:00",NA
"1243","09-Jan-13","","","WHAL","03:00:00",NA
"1244","11-Jan-13","","No seals on shore but CS and LS on ice offshore.","GOUR","02:00:00",0
"1245","12-Jan-13","ESWSFS","About a dozen elephant seals on the east beach. One WS on the landing beach. #FS = 1","PENG","03:00:00",1
"1246","12-Jan-13","ESFS","","YANK","03:00:00",NA
"1247","1/14/2013","ES","Over a dozen elephant seals at each of the two seal wallows (one by the landing and one down to the left on the beach),","HANN","03:00:00",NA
"1248","11-Dec-12","","","DAMO","",NA
"1249","11-Dec-12","","","PCHA","",NA
"1250","12-Dec-12","","","WATE","",NA
"1251","12-Dec-12","","","ALMI","",NA
"1252","12/13/2012","","","NEKO","",NA
"1253","12/13/2012","","","DANC","",NA
"1254","12/15/2012","","","ROBE","",NA
"1255","12/15/2012","","","YANK","",NA
"1256","12/21/2012","LS","","PETE","03:30:00",NA
"1257","12/21/2012","ES","","PLEN","03:00:00",NA
"1258","12/22/2012","WS","","JOUG","",NA
"1259","12/23/2012","","","NEKO","02:00:00",NA
"1260","09-Jan-13","ESFS","","ROBE","02:30:00",NA
"1261","12/21/2012","WS","","RUGG","01:12:00",NA
"1262","12/21/2012","LS","","ENTR","",NA
"1263","12/22/2012","","","GOUR","02:00:00",NA
"1264","12/23/2012","","","BROW","03:00:00",NA
"1265","01-Jan-13","WS","","MIKK","01:10:00",NA
"1266","10-Jan-13","ES","","SKOT","00:50:00",NA
"1267","11-Jan-13","ES","","DAMO","02:30:00",NA
"1268","11-Jan-13","","","ALMI","00:30:00",NA
"1269","11-Jan-13","","","BRYE","01:00:00",NA
"1270","11-Jan-13","","","BRYS","01:00:00",NA
"1271","12-Jan-13","","","NEKO","01:00:00",NA
"1272","12-Jan-13","FS","","GEOR","02:00:00",NA
"1273","12/23/2012","","","ORNE","02:00:00",NA
"1274","","","","CUVE","00:30:00",NA
"1275","12/24/2012","","","SPIG","02:30:00",NA
"1276","12/25/2012","WS","","HALF","02:00:00",NA
"1277","01-Dec-12","ES","","BRIT","03:00:00",NA
"1278","02-Dec-12","CSES","","TURR","01:30:00",NA
"1279","02-Dec-12","","","PENG","01:35:00",NA
"1280","03-Dec-12","WS","","MIKK","01:35:00",NA
"1281","03-Dec-12","","","SKOT","00:35:00",NA
"1282","03-Dec-12","","","TETR","00:35:00",NA
"1283","04-Dec-12","","","GAST","01:00:00",NA
"1284","04-Dec-12","","","JACP","00:30:00",NA
"1285","04-Dec-12","","","SELV","02:00:00",NA
"1286","05-Dec-12","","","RONE","02:00:00",NA
"1287","11-Dec-12","","","DAMO","01:22:00",NA
"1288","11-Dec-12","","","DOBE","00:30:00",NA
"1289","12-Dec-12","","","BRYE","",NA
"1290","12-Dec-12","","","BRYS","",NA
"1291","12-Dec-12","","","NEKO","",NA
"1292","12-Dec-12","","","CUVE","-20:08:00",NA
"1293","12/13/2012","","","SPTR","",NA
"1294","12/13/2012","","","SELV","",NA
"1295","12/13/2012","","","PING","",NA
"1296","12/14/2012","","","MIKK","",NA
"1297","12/14/2012","","","SKOT","",NA
"1298","12/14/2012","","","TETR","",NA
"1299","12/15/2012","","","HALF","",NA
"1300","12/15/2012","ES","","ROBE","",NA
"1301","12/16/2012","","","VERN","",NA
"1302","12/16/2012","","","GALE","",NA
"1303","12/16/2012","","","GALS","",NA
"1304","05-Jan-13","LS","","MOOT","",NA
"1305","06-Jan-13","","","GALE","00:25:00",NA
"1306","06-Jan-13","","","GALS","00:40:00",NA
"1307","06-Jan-13","CS","","YALO","02:20:00",NA
"1308","06-Jan-13","WSCS","","TUXE","",NA
"1309","06-Jan-13","","","GREI","00:15:00",NA
"1310","06-Jan-13","WSCS","","BERT","00:15:00",NA
"1311","06-Jan-13","","","DARX","",NA
"1312","07-Jan-13","","","TRUN","01:45:00",NA
"1313","07-Jan-13","","","JING","",NA
"1314","07-Jan-13","","","WELL","02:20:00",NA
"1315","07-Jan-13","","","NESM","",NA
"1316","07-Jan-13","","","SMIG","",NA
"1317","07-Jan-13","","","FIZK","00:33:00",NA
"1318","07-Jan-13","","","WINK","",NA
"1319","08-Jan-13","","","VIEU","01:45:00",NA
"1320","08-Jan-13","","","SOMI","01:18:00",NA
"1321","08-Jan-13","","","LAKT","00:40:00",NA
"1322","08-Jan-13","","","ARMS","",NA
"1323","09-Jan-13","","","KROG","",NA
"1324","10-Jan-13","","","KUNO","00:33:00",NA
"1325","10-Jan-13","","","LAVO","01:00:00",NA
"1326","10-Jan-13","WS","","BARC","03:25:00",NA
"1327","10-Jan-13","FS","4 other phocids","DESC","",NA
"1328","11-Jan-13","","","CHAT","00:20:00",NA
"1329","11-Jan-13","WSFS","","CONE","02:30:00",NA
"1330","11-Jan-13","ES",">35 ES","GING","02:00:00",NA
"1331","11-Jan-13","","","BONG","01:30:00",NA
"1332","12-Jan-13","","","RRRI","01:55:00",NA
"1333","12-Jan-13","WS","","LAGO","02:20:00",NA
"1334","1/14/2013","","","EMPE","02:20:00",NA
"1335","1/14/2013","ES","","AVIA","",NA
"1336","1/16/2013","","","ANDI","02:15:00",NA
"1337","1/16/2013","LS","","ANDR","02:15:00",NA
"1338","1/17/2013","","","HOLD","",NA
"1339","1/17/2013","","","DARB","00:53:00",NA
"1340","1/17/2013","","","EVER","00:15:00",NA
"1341","1/17/2013","","","EVEN","00:28:00",NA
"1342","1/18/2013","","","FISH","02:13:00",NA
"1343","1/19/2013","","","LOUB","02:00:00",NA
"1344","1/19/2013","","","HUMP","00:12:00",NA
"1345","1/20/2013","","","GLAN","01:00:00",NA
"1346","1/21/2013","","","PRIN","00:30:00",NA
"1347","1/21/2013","","","TRUA","00:30:00",NA
"1348","1/22/2013","","","SPIG","01:05:00",NA
"1349","1/22/2013","","","ALMI","01:53:00",NA
"1350","1/23/2013","","","ORNE","01:00:00",NA
"1351","1/24/2013","FSES","","HALF","03:00:00",NA
"1352","1/31/2013","","","ARDL","",NA
"1353","01-Feb-13","","","ALMI","",NA
"1354","01-Feb-13","","","BRYS","",NA
"1355","01-Feb-13","","","NEKO","",NA
"1356","02-Feb-13","","","SPIG","",NA
